iter	Passed	Remaining
0	78	62510
1	124	49654
2	182	48468
3	223	44485
4	263	41910
5	300	39715
6	413	46796
7	470	46537
8	526	46266
9	697	55088
10	757	54325
11	820	53860
12	865	52407
13	893	50178
14	920	48198
15	943	46239
16	969	44648
17	1009	43837
18	1053	43305
19	1077	42040
20	1107	41088
21	1132	40061
22	1153	38964
23	1173	37953
24	1208	37457
25	1277	38022
26	1315	37667
27	1339	36928
28	1361	36199
29	1382	35491
30	1421	35250
31	1461	35083
32	1486	34549
33	1505	33922
34	1528	33418
35	1550	32895
36	1575	32495
37	1596	32011
38	1634	31901
39	1662	31587
40	1683	31161
41	1704	30766
42	1727	30417
43	1747	30027
44	1767	29646
45	1788	29314
46	1813	29060
47	1842	28867
48	1870	28669
49	1891	28370
50	1911	28075
51	1937	27870
52	1957	27596
53	1977	27313
54	1995	27035
55	2019	26827
56	2052	26749
57	2072	26517
58	2092	26274
59	2114	26083
60	2134	25856
61	2153	25635
62	2173	25422
63	2192	25212
64	2216	25067
65	2253	25062
66	2274	24884
67	2295	24712
68	2316	24541
69	2337	24374
70	2356	24198
71	2378	24047
72	2397	23872
73	2418	23724
74	2443	23617
75	2463	23467
76	2495	23434
77	2519	23318
78	2542	23206
79	2563	23069
80	2583	22928
81	2601	22778
82	2620	22638
83	2643	22536
84	2664	22409
85	2685	22299
86	2710	22212
87	2732	22107
88	2752	21989
89	2772	21873
90	2792	21754
91	2810	21632
92	2833	21540
93	2854	21435
94	2873	21325
95	2903	21293
96	2924	21197
97	2945	21098
98	2964	20988
99	2983	20883
100	3003	20789
101	3025	20702
102	3045	20608
103	3066	20519
104	3092	20471
105	3121	20435
106	3139	20336
107	3158	20240
108	3178	20151
109	3196	20052
110	3216	19967
111	3236	19881
112	3256	19795
113	3274	19704
114	3293	19615
115	3315	19548
116	3340	19499
117	3359	19416
118	3377	19325
119	3397	19250
120	3416	19170
121	3436	19098
122	3455	19016
123	3474	18940
124	3495	18876
125	3522	18842
126	3545	18787
127	3564	18714
128	3584	18643
129	3603	18569
130	3620	18491
131	3643	18438
132	3662	18366
133	3680	18293
134	3701	18232
135	3732	18222
136	3751	18155
137	3770	18089
138	3789	18019
139	3809	17960
140	3831	17907
141	3851	17845
142	3872	17790
143	3890	17721
144	3910	17662
145	3942	17662
146	3962	17604
147	3981	17540
148	4000	17479
149	4019	17418
150	4041	17370
151	4060	17309
152	4078	17245
153	4097	17187
154	4120	17146
155	4150	17132
156	4170	17080
157	4189	17022
158	4209	16970
159	4232	16930
160	4252	16878
161	4273	16830
162	4292	16773
163	4311	16719
164	4329	16660
165	4358	16647
166	4378	16595
167	4398	16545
168	4417	16494
169	4437	16446
170	4458	16398
171	4476	16344
172	4495	16294
173	4517	16251
174	4538	16208
175	4566	16190
176	4585	16138
177	4603	16086
178	4623	16039
179	4643	15995
180	4662	15946
181	4681	15897
182	4700	15848
183	4720	15803
184	4746	15778
185	4776	15766
186	4794	15718
187	4813	15670
188	4834	15629
189	4854	15584
190	4874	15542
191	4892	15492
192	4911	15447
193	4933	15410
194	4954	15371
195	4983	15358
196	5003	15314
197	5024	15275
198	5043	15230
199	5062	15187
200	5081	15144
201	5100	15098
202	5118	15053
203	5141	15021
204	5162	14983
205	5193	14974
206	5212	14931
207	5233	14895
208	5254	14859
209	5274	14818
210	5293	14776
211	5311	14732
212	5332	14695
213	5354	14661
214	5373	14622
215	5405	14614
216	5424	14573
217	5445	14539
218	5465	14499
219	5486	14464
220	5505	14424
221	5525	14386
222	5545	14349
223	5565	14312
224	5585	14275
225	5614	14260
226	5636	14228
227	5656	14190
228	5675	14151
229	5694	14112
230	5713	14073
231	5735	14042
232	5755	14004
233	5774	13967
234	5794	13931
235	5824	13918
236	5846	13888
237	5865	13850
238	5883	13809
239	5901	13771
240	5921	13735
241	5943	13704
242	5963	13668
243	5983	13633
244	6003	13599
245	6034	13590
246	6053	13553
247	6071	13514
248	6093	13483
249	6113	13450
250	6136	13421
251	6155	13385
252	6176	13353
253	6195	13317
254	6214	13282
255	6276	13337
256	6294	13298
257	6312	13260
258	6335	13233
259	6356	13201
260	6376	13167
261	6394	13130
262	6414	13098
263	6442	13081
264	6465	13053
265	6486	13020
266	6504	12985
267	6526	12955
268	6545	12919
269	6565	12886
270	6585	12854
271	6603	12817
272	6623	12786
273	6653	12772
274	6672	12738
275	6691	12704
276	6710	12670
277	6731	12638
278	6750	12606
279	6769	12571
280	6788	12538
281	6808	12506
282	6832	12481
283	6864	12471
284	6883	12437
285	6902	12404
286	6921	12372
287	6945	12348
288	6965	12316
289	6984	12282
290	7004	12251
291	7022	12217
292	7049	12197
293	7074	12176
294	7094	12144
295	7111	12109
296	7133	12081
297	7152	12049
298	7171	12016
299	7190	11983
300	7207	11949
301	7229	11920
302	7247	11888
303	7271	11863
304	7294	11839
305	7313	11807
306	7335	11779
307	7354	11747
308	7375	11719
309	7393	11686
310	7413	11655
311	7436	11631
312	7456	11601
313	7483	11582
314	7502	11551
315	7525	11526
316	7545	11496
317	7565	11466
318	7585	11437
319	7606	11409
320	7627	11382
321	7645	11349
322	7664	11318
323	7693	11302
324	7711	11269
325	7731	11241
326	7753	11215
327	7774	11187
328	7794	11158
329	7813	11128
330	7834	11100
331	7854	11072
332	7874	11043
333	7905	11029
334	7923	10997
335	7944	10970
336	7963	10941
337	7983	10911
338	8004	10884
339	8023	10855
340	8047	10831
341	8066	10803
342	8086	10774
343	8114	10757
344	8136	10731
345	8155	10701
346	8175	10672
347	8195	10644
348	8215	10616
349	8236	10589
350	8255	10559
351	8275	10532
352	8293	10501
353	8317	10479
354	8342	10457
355	8363	10430
356	8382	10401
357	8401	10372
358	8420	10344
359	8443	10319
360	8463	10291
361	8481	10262
362	8509	10244
363	8537	10226
364	8556	10197
365	8575	10169
366	8594	10140
367	8613	10112
368	8634	10085
369	8653	10056
370	8673	10029
371	8692	10001
372	8710	9971
373	8733	9947
374	8758	9926
375	8778	9899
376	8796	9869
377	8814	9840
378	8838	9818
379	8857	9790
380	8877	9763
381	8900	9739
382	8922	9714
383	8995	9744
384	9055	9761
385	9106	9767
386	9166	9782
387	9207	9777
388	9242	9765
389	9278	9754
390	9309	9738
391	9359	9741
392	9403	9738
393	9440	9727
394	9480	9720
395	9522	9714
396	9557	9701
397	9595	9691
398	9638	9687
399	9677	9677
400	9698	9650
401	9720	9623
402	9741	9596
403	9760	9567
404	9781	9540
405	9801	9511
406	9822	9484
407	9845	9459
408	9867	9433
409	9890	9408
410	9911	9380
411	9931	9353
412	9954	9328
413	9975	9301
414	9996	9273
415	10019	9248
416	10048	9229
417	10098	9228
418	10145	9225
419	10191	9221
420	10247	9225
421	10319	9243
422	10375	9247
423	10423	9243
424	10458	9228
425	10479	9200
426	10502	9174
427	10523	9146
428	10545	9120
429	10569	9094
430	10591	9067
431	10611	9039
432	10629	9009
433	10652	8983
434	10673	8955
435	10712	8943
436	10760	8938
437	10792	8919
438	10841	8915
439	10898	8916
440	10955	8918
441	10984	8897
442	11017	8878
443	11042	8854
444	11066	8828
445	11086	8799
446	11104	8769
447	11123	8739
448	11143	8711
449	11164	8683
450	11184	8655
451	11206	8627
452	11227	8600
453	11249	8573
454	11269	8544
455	11290	8517
456	11312	8490
457	11332	8462
458	11351	8433
459	11373	8406
460	11424	8400
461	11463	8386
462	11486	8360
463	11509	8334
464	11528	8305
465	11553	8280
466	11575	8254
467	11600	8229
468	11622	8202
469	11645	8176
470	11668	8150
471	11689	8123
472	11708	8094
473	11727	8066
474	11748	8038
475	11767	8010
476	11789	7983
477	11808	7954
478	11827	7925
479	11845	7896
480	11867	7870
481	11886	7842
482	11905	7813
483	11924	7785
484	11944	7757
485	11962	7728
486	11984	7702
487	12002	7673
488	12024	7647
489	12045	7620
490	12065	7592
491	12085	7565
492	12106	7538
493	12131	7514
494	12172	7500
495	12236	7500
496	12310	7505
497	12337	7481
498	12367	7460
499	12394	7436
500	12417	7411
501	12438	7384
502	12460	7357
503	12479	7329
504	12500	7302
505	12519	7274
506	12539	7246
507	12559	7219
508	12579	7191
509	12600	7164
510	12624	7139
511	12649	7115
512	12668	7087
513	12690	7061
514	12710	7033
515	12732	7007
516	12753	6981
517	12772	6953
518	12796	6928
519	12821	6903
520	12845	6878
521	12866	6852
522	12886	6824
523	12905	6797
524	12924	6769
525	12945	6743
526	12965	6716
527	12985	6689
528	13004	6662
529	13024	6635
530	13043	6607
531	13062	6580
532	13082	6553
533	13101	6526
534	13120	6498
535	13139	6471
536	13162	6446
537	13181	6419
538	13202	6392
539	13222	6366
540	13241	6339
541	13261	6312
542	13280	6285
543	13299	6258
544	13317	6231
545	13338	6205
546	13357	6177
547	13379	6152
548	13398	6125
549	13416	6098
550	13437	6072
551	13457	6045
552	13474	6018
553	13495	5992
554	13513	5965
555	13534	5939
556	13553	5912
557	13571	5886
558	13596	5862
559	13618	5836
560	13637	5809
561	13658	5784
562	13677	5757
563	13696	5730
564	13716	5705
565	13735	5678
566	13753	5651
567	13773	5625
568	13791	5599
569	13814	5574
570	13833	5548
571	13854	5522
572	13874	5496
573	13895	5471
574	13914	5444
575	13934	5418
576	13952	5392
577	13972	5366
578	13990	5340
579	14009	5313
580	14032	5289
581	14050	5263
582	14068	5236
583	14087	5210
584	14107	5184
585	14126	5158
586	14144	5132
587	14163	5106
588	14181	5080
589	14201	5054
590	14220	5028
591	14239	5003
592	14260	4977
593	14279	4952
594	14299	4926
595	14319	4901
596	14340	4876
597	14362	4851
598	14381	4825
599	14401	4800
600	14419	4774
601	14441	4749
602	14462	4724
603	14480	4699
604	14499	4673
605	14519	4648
606	14538	4622
607	14558	4597
608	14576	4571
609	14593	4545
610	14613	4520
611	14631	4494
612	14651	4469
613	14671	4444
614	14689	4418
615	14709	4393
616	14727	4368
617	14746	4342
618	14767	4317
619	14785	4292
620	14804	4267
621	14823	4242
622	14842	4216
623	14861	4191
624	14881	4166
625	14900	4141
626	14919	4116
627	14939	4091
628	14958	4066
629	14976	4041
630	14995	4016
631	15013	3990
632	15033	3966
633	15052	3941
634	15071	3916
635	15093	3891
636	15111	3866
637	15131	3842
638	15151	3817
639	15169	3792
640	15189	3767
641	15206	3742
642	15226	3717
643	15245	3693
644	15265	3668
645	15286	3644
646	15305	3619
647	15326	3595
648	15347	3570
649	15366	3546
650	15385	3521
651	15404	3496
652	15424	3472
653	15442	3447
654	15462	3422
655	15482	3398
656	15503	3374
657	15523	3350
658	15541	3325
659	15560	3300
660	15579	3276
661	15597	3251
662	15616	3226
663	15635	3202
664	15655	3178
665	15674	3153
666	15693	3129
667	15713	3105
668	15734	3080
669	15753	3056
670	15770	3031
671	15790	3007
672	15809	2983
673	15827	2958
674	15846	2934
675	15866	2910
676	15888	2886
677	15908	2862
678	15930	2838
679	15954	2815
680	15977	2792
681	16016	2771
682	16095	2757
683	16150	2738
684	16188	2717
685	16237	2698
686	16291	2679
687	16330	2658
688	16384	2639
689	16450	2622
690	16501	2602
691	16553	2583
692	16605	2563
693	16656	2544
694	16697	2522
695	16719	2498
696	16742	2474
697	16765	2449
698	16785	2425
699	16829	2404
700	16865	2381
701	16925	2362
702	16971	2341
703	17026	2321
704	17067	2299
705	17111	2278
706	17165	2257
707	17210	2236
708	17252	2214
709	17294	2192
710	17344	2171
711	17390	2149
712	17426	2126
713	17454	2102
714	17498	2080
715	17551	2059
716	17592	2036
717	17627	2013
718	17660	1989
719	17692	1965
720	17729	1942
721	17763	1918
722	17795	1895
723	17829	1871
724	17861	1847
725	17892	1823
726	17930	1800
727	17974	1777
728	18004	1753
729	18027	1728
730	18055	1704
731	18089	1680
732	18134	1657
733	18187	1635
734	18240	1613
735	18421	1601
736	18498	1581
737	18553	1558
738	18581	1533
739	18607	1508
740	18630	1483
741	18678	1460
742	18727	1436
743	18758	1411
744	18787	1386
745	18810	1361
746	18833	1336
747	18865	1311
748	18910	1287
749	18958	1263
750	19008	1240
751	19046	1215
752	19096	1191
753	19129	1167
754	19165	1142
755	19203	1117
756	19233	1092
757	19278	1068
758	19323	1043
759	19359	1018
760	19381	993
761	19408	967
762	19435	942
763	19482	918
764	19532	893
765	19583	869
766	19643	845
767	19682	820
768	19718	794
769	19748	769
770	19780	744
771	19820	718
772	19864	693
773	19909	668
774	19930	642
775	19955	617
776	19982	591
777	20037	566
778	20079	541
779	20117	515
780	20184	491
781	20231	465
782	20259	439
783	20278	413
784	20299	387
785	20323	361
786	20346	336
787	20365	310
788	20385	284
789	20408	258
790	20427	232
791	20448	206
792	20468	180
793	20487	154
794	20508	128
795	20528	103
796	20548	77
797	20568	51
798	20588	25
799	20609	0
